website_name,website_address,website_city,website_state,website_zip,candidate_rank,crm_account_id,crm_name,crm_parent_id,crm_parent_name,crm_address,crm_city,crm_state,crm_zip,crm_status,lifetime_revenue,outstanding_ar,score,match_strength,name_score,address_exact,city_exact,state_exact,zip_exact
Amberly Manor,4390 Darrow Rd,Hudson,OH,44236,1,0013D92A1C03BEFEAA,Amberly Manor,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),4390 Darrow Rd,Hudson,OH,44236,Active,0,0,100.0,HIGH,100.0,True,True,True,True
Amberly Manor,4390 Darrow Rd,Hudson,OH,44236,2,001DPANQQTRR1LXFY4,Amberly Estates,001DAAUWV2J3SHQJ34,Juniper Point Healthcare (Parent Account),9735 Maple St,Parma,OH,44129,Active,0,0,11.15,LOW,61.54,False,False,True,False
Amberly Manor,4390 Darrow Rd,Hudson,OH,44236,3,001YTHGSDPVYZKCEMU,Brookfield Manor,,,1541 Washington Ave,Canton,OH,44708,Active,8000,0,10.93,LOW,59.26,False,False,True,False
Bellhaven at Sycamore Ridge,7420 Sycamore Ridge Dr,Miamisburg,OH,45342,1,00191H7JR16471SZ34,Bellhaven at Sycamore Ridge,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),7420 Sycamore Ridge Dr,Miamisburg,OH,45342,Active,0,0,100.0,HIGH,100.0,True,True,True,True
Bellhaven at Sycamore Ridge,7420 Sycamore Ridge Dr,Miamisburg,OH,45342,2,001WR41PYNWXCAE2X4,Bellhaven of Kettering,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),3313 Wilmington Pike,Kettering,OH,45429,Active,0,0,11.36,LOW,63.64,False,False,True,False
Bellhaven at Sycamore Ridge,7420 Sycamore Ridge Dr,Miamisburg,OH,45342,3,001B2902712E76E8DE,Bellhaven of Batavia,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),2000 Hospital Dr,Batavia,OH,45103,Active,0,0,11.19,LOW,61.9,False,False,True,False
Bellhaven at Union Square,118 Union Square Dr,New Albany,OH,43054,1,001GNU41AVXZRLLJ9P,Union Square Senior Living,001DAAUWV2J3SHQJ34,Juniper Point Healthcare (Parent Account),240 Market St,New Albany,OH,43054,Needs Review,0,0,39.89,LOW,48.89,False,True,True,True
Bellhaven at Union Square,118 Union Square Dr,New Albany,OH,43054,2,0015L38R1Z5947ZZP7,Bellhaven of Marion,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),199 Barks Road West,Marion,OH,43302,Active,87000,0,11.67,LOW,66.67,False,False,True,False
Bellhaven at Union Square,118 Union Square Dr,New Albany,OH,43054,3,00191H7JR16471SZ34,Bellhaven at Sycamore Ridge,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),7420 Sycamore Ridge Dr,Miamisburg,OH,45342,Active,0,0,11.52,LOW,65.22,False,False,True,False
Bellhaven Court of Altoona,1125 Logan Blvd,Altoona,PA,16602,1,0011D2P3CWSHMF81C8,Bellhaven Court of Altoona,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),1125 Logan Boulevard,Altoona,PA,16602,Active,61000,0,100.0,HIGH,100.0,True,True,True,True
Bellhaven Court of Altoona,1125 Logan Blvd,Altoona,PA,16602,2,0018CF5521F502B208,Bellhaven of Carlisle,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),640 Walnut Bottom Rd,Carlisle,PA,17015,Active,0,0,11.67,LOW,66.67,False,False,True,False
Bellhaven Court of Altoona,1125 Logan Blvd,Altoona,PA,16602,3,001KC1NG7EZDEKKA3T,Bellhaven of Meadville,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),341 Chestnut Street,Meadville,PA,16335,Active,87000,1000,11.5,LOW,65.0,False,False,True,False
Bellhaven Crossings of Lima,3115 N Cole St,Lima,OH,45801,1,001LGFPBJY4N9MB6KL,Bellhaven Crossings of Lima,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),3115 N Cole St,Lima,OH,45801,Active,47000,0,100.0,HIGH,100.0,True,True,True,True
Bellhaven Crossings of Lima,3115 N Cole St,Lima,OH,45801,2,00116ETS45BL7DTQP7,Bellhaven Care Center of Alliance,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),1785 Freshley Ave,Alliance,OH,44601,Inactive,0,0,11.42,LOW,64.15,False,False,True,False
Bellhaven Crossings of Lima,3115 N Cole St,Lima,OH,45801,3,001RJU1X4NBWC1Q0G7,Bellhaven of Chagrin Falls,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),150 River St,Chagrin Falls,OH,44022,Active,0,0,11.38,LOW,63.83,False,False,True,False
Bellhaven Gardens of Monroe,750 Stewart Rd,Monroe,MI,48162,1,001U1750VLVJAGG1S5,Bellhaven Gardens of Monroe,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),750 Stewart Rd,Monroe,MI,48162,Active,0,0,100.0,HIGH,100.0,True,True,True,True
Bellhaven Gardens of Monroe,750 Stewart Rd,Monroe,MI,48162,2,0011AB44D05WLA9HTX,Cedar Trail of Monroe,001FWSQ30SFW6S7604,Cedar Trail Communities (Parent Account),750 Stewart Road,Monroe,MI,48162,Active,0,0,95.24,HIGH,52.38,True,True,True,True
Bellhaven Gardens of Monroe,750 Stewart Rd,Monroe,MI,48162,3,00159PL81N38KM4FHM,Monroe Gardens Care Center,001FJZYHR7MLFMNPLL,Harborview Care Group (Parent Account),750 Stewart Rd,Monroe,MI,48162,Active,0,0,94.26,HIGH,42.55,True,True,True,True
Bellhaven Healthcare Centre of Ashland,1631 Claremont Ave,Ashland,OH,44805,1,001RJ0D7Z5MAZN5HX5,Bellhaven Healthcare Centre of Ashland,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),1631 Claremont Ave,Ashland,OH,44805,Active,0,0,100.0,HIGH,100.0,True,True,True,True
Bellhaven Healthcare Centre of Ashland,1631 Claremont Ave,Ashland,OH,44805,2,00116ETS45BL7DTQP7,Bellhaven Care Center of Alliance,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),1785 Freshley Ave,Alliance,OH,44601,Inactive,0,0,12.62,LOW,76.19,False,False,True,False
Bellhaven Healthcare Centre of Ashland,1631 Claremont Ave,Ashland,OH,44805,3,0019Y4J61ZBG4R00CD,Bellhaven Terrace of Akron,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),55 Ridgewood Ave,Akron,OH,44313,Active,101000,9000,10.96,LOW,59.65,False,False,True,False
Bellhaven Meadows of Findlay,1800 N Blanchard St,Findlay,OH,45840,1,001UKEFGADQ8YCZ4YM,Bellhaven Meadows of Findlay,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),1800 N Blanchard St,Findlay,OH,45840,Active,22000,0,100.0,HIGH,100.0,True,True,True,True
Bellhaven Meadows of Findlay,1800 N Blanchard St,Findlay,OH,45840,2,001988434135EF9CD7,Bellhaven of Tiffin,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),45 St Lawrence Dr,Tiffin,OH,44883,Active,0,0,11.67,LOW,66.67,False,False,True,False
Bellhaven Meadows of Findlay,1800 N Blanchard St,Findlay,OH,45840,3,001U6RW32TY0WSXZZB,Bellhaven of Tiffin,001FWSQ30SFW6S7604,Cedar Trail Communities (Parent Account),45 St Lawrence Dr,Tiffin,OH,44883,Active,84000,12400,11.67,LOW,66.67,False,False,True,False
Bellhaven of Ashtabula,3156 W Prospect Rd,Ashtabula,OH,44004,1,001NXP9X46CWEPSLSV,Bellhaven of Ashtabula,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),3156 W Prospect Rd,Ashtabula,OH,44004,Active,0,0,100.0,HIGH,100.0,True,True,True,True
Bellhaven of Ashtabula,3156 W Prospect Rd,Ashtabula,OH,44004,2,001B2902712E76E8DE,Bellhaven of Batavia,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),2000 Hospital Dr,Batavia,OH,45103,Active,0,0,12.89,LOW,78.95,False,False,True,False
Bellhaven of Ashtabula,3156 W Prospect Rd,Ashtabula,OH,44004,3,001A4016DD25E80693,Bellhaven of Marietta,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),805 Colegate Dr,Marietta,OH,45750,Active,0,0,12.18,LOW,71.79,False,False,True,False
Bellhaven of Batavia,2000 Hospital Dr,Batavia,OH,45103,1,001B2902712E76E8DE,Bellhaven of Batavia,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),2000 Hospital Dr,Batavia,OH,45103,Active,0,0,100.0,HIGH,100.0,True,True,True,True
Bellhaven of Batavia,2000 Hospital Dr,Batavia,OH,45103,2,001NXP9X46CWEPSLSV,Bellhaven of Ashtabula,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),3156 W Prospect Rd,Ashtabula,OH,44004,Active,0,0,12.89,LOW,78.95,False,False,True,False
Bellhaven of Batavia,2000 Hospital Dr,Batavia,OH,45103,3,001A4016DD25E80693,Bellhaven of Marietta,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),805 Colegate Dr,Marietta,OH,45750,Active,0,0,12.57,LOW,75.68,False,False,True,False
Bellhaven of Carlisle,640 Walnut Bottom Rd,Carlisle,PA,17015,1,0018CF5521F502B208,Bellhaven of Carlisle,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),640 Walnut Bottom Rd,Carlisle,PA,17015,Active,0,0,100.0,HIGH,100.0,True,True,True,True
Bellhaven of Carlisle,640 Walnut Bottom Rd,Carlisle,PA,17015,2,001KC1NG7EZDEKKA3T,Bellhaven of Meadville,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),341 Chestnut Street,Meadville,PA,16335,Active,87000,1000,12.69,LOW,76.92,False,False,True,False
Bellhaven of Carlisle,640 Walnut Bottom Rd,Carlisle,PA,17015,3,001CVBBCSDM7YHN220,Bellhaven Shores of Erie,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),4930 W Lake Rd,Erie,PA,16505,Active,0,0,12.0,LOW,70.0,False,False,True,False
Bellhaven of Chagrin Falls,150 River St,Chagrin Falls,OH,44022,1,001RJU1X4NBWC1Q0G7,Bellhaven of Chagrin Falls,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),150 River St,Chagrin Falls,OH,44022,Active,0,0,100.0,HIGH,100.0,True,True,True,True
Bellhaven of Chagrin Falls,150 River St,Chagrin Falls,OH,44022,2,0015L38R1Z5947ZZP7,Bellhaven of Marion,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),199 Barks Road West,Marion,OH,43302,Active,87000,0,12.5,LOW,75.0,False,False,True,False
Bellhaven of Chagrin Falls,150 River St,Chagrin Falls,OH,44022,3,001A4016DD25E80693,Bellhaven of Marietta,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),805 Colegate Dr,Marietta,OH,45750,Active,0,0,12.14,LOW,71.43,False,False,True,False
Bellhaven of Chesterton,1250 NW Franklin Street,Chesterton,IN,46304,1,0013NUZQHQUEZ8DXEG,Bellhaven of Chesterton,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),1250 Northwest Franklin St,Chesterton,IN,46304,Active,0,0,100.0,HIGH,100.0,True,True,True,True
Bellhaven of Chesterton,1250 NW Franklin Street,Chesterton,IN,46304,2,001JQER1RMYKNRLNME,Bellhaven of Goshen,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),1610 College Avenue,Goshen,IN,46526,Active,121000,0,12.37,LOW,73.68,False,False,True,False
Bellhaven of Chesterton,1250 NW Franklin Street,Chesterton,IN,46304,3,001AUYU58KMWDYXQA6,Northfield Care Center,00139TNDS8HNLUZ5A6,Stonebridge Eldercare (Parent Account),2781 Water Rd,South Bend,IN,46601,Active,160000,5500,9.39,LOW,43.9,False,False,True,False
Bellhaven of Defiance,700 Carpenter Rd,Defiance,OH,43512,1,001R4PXTUD9R6FNN8V,Bellhaven of Defiance,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),700 Carpenter Road,Defiance,OH,43512,Active,66000,9500,100.0,HIGH,100.0,True,True,True,True
Bellhaven of Defiance,700 Carpenter Rd,Defiance,OH,43512,2,001988434135EF9CD7,Bellhaven of Tiffin,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),45 St Lawrence Dr,Tiffin,OH,44883,Active,0,0,12.78,LOW,77.78,False,False,True,False
Bellhaven of Defiance,700 Carpenter Rd,Defiance,OH,43512,3,001U6RW32TY0WSXZZB,Bellhaven of Tiffin,001FWSQ30SFW6S7604,Cedar Trail Communities (Parent Account),45 St Lawrence Dr,Tiffin,OH,44883,Active,84000,12400,12.78,LOW,77.78,False,False,True,False
Bellhaven of Goshen,1610 College Ave,Goshen,IN,46526,1,001JQER1RMYKNRLNME,Bellhaven of Goshen,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),1610 College Avenue,Goshen,IN,46526,Active,121000,0,100.0,HIGH,100.0,True,True,True,True
Bellhaven of Goshen,1610 College Ave,Goshen,IN,46526,2,0013NUZQHQUEZ8DXEG,Bellhaven of Chesterton,0015QAPLGS3FVYEEEM,Bellhaven Senior Living (Parent Account),1250 Northwest Franklin St,Chesterton,IN,46304,Active,0,0,12.37,LOW,73.68,False,False,True,False
Bellhaven of Goshen,1610 College Ave,Goshen,IN,46526,3,001CUX47U01QEEA1B7,Harvest Hill Senior Living,001DAAUWV2J3SHQJ34,Juniper Point Healthcare (Parent Account),138 Mill Dr,Muncie,IN,47303,Active,0,0,9.0,LOW,40.0,False,False,True,False
