website_name,crm_account_id,crm_name,classification,match_score
Amberly Manor,0013D92A1C03BEFEAA,Amberly Manor,NO_ACTION,100.0
Bellhaven at Sycamore Ridge,00191H7JR16471SZ34,Bellhaven at Sycamore Ridge,NO_ACTION,100.0
Bellhaven at Union Square,001GNU41AVXZRLLJ9P,Union Square Senior Living,NO_ACTION,39.89
Bellhaven Court of Altoona,0011D2P3CWSHMF81C8,Bellhaven Court of Altoona,NO_ACTION,100.0
Bellhaven Crossings of Lima,001LGFPBJY4N9MB6KL,Bellhaven Crossings of Lima,NO_ACTION,100.0
Bellhaven Gardens of Monroe,001U1750VLVJAGG1S5,Bellhaven Gardens of Monroe,NO_ACTION,100.0
Bellhaven Healthcare Centre of Ashland,001RJ0D7Z5MAZN5HX5,Bellhaven Healthcare Centre of Ashland,NO_ACTION,100.0
Bellhaven Meadows of Findlay,001UKEFGADQ8YCZ4YM,Bellhaven Meadows of Findlay,NO_ACTION,100.0
Bellhaven of Ashtabula,001NXP9X46CWEPSLSV,Bellhaven of Ashtabula,NO_ACTION,100.0
Bellhaven of Batavia,001B2902712E76E8DE,Bellhaven of Batavia,NO_ACTION,100.0
Bellhaven of Carlisle,0018CF5521F502B208,Bellhaven of Carlisle,NO_ACTION,100.0
Bellhaven of Chagrin Falls,001RJU1X4NBWC1Q0G7,Bellhaven of Chagrin Falls,NO_ACTION,100.0
Bellhaven of Chesterton,0013NUZQHQUEZ8DXEG,Bellhaven of Chesterton,NO_ACTION,100.0
Bellhaven of Defiance,001R4PXTUD9R6FNN8V,Bellhaven of Defiance,NO_ACTION,100.0
Bellhaven of Goshen,001JQER1RMYKNRLNME,Bellhaven of Goshen,NO_ACTION,100.0
Bellhaven of Kalamazoo,001NSHWKQD0YJLPQ20,Bellhaven of Kalamazoo,NO_ACTION,100.0
Bellhaven of Kettering,001WR41PYNWXCAE2X4,Bellhaven of Kettering,NO_ACTION,100.0
Bellhaven of Maplewood,001L3LGR6W69J8DYYV,Bellhaven of Maplewood,NO_ACTION,100.0
Bellhaven of Marietta,001A4016DD25E80693,Bellhaven of Marietta,NO_ACTION,100.0
Bellhaven of Marion,0015L38R1Z5947ZZP7,Bellhaven of Marion,NO_ACTION,100.0
Bellhaven of Meadville,001KC1NG7EZDEKKA3T,Bellhaven of Meadville,NO_ACTION,100.0
Bellhaven of New Carlisle,001AQGPZ5G5VRES536,Bellhaven of New Carlisle,NO_ACTION,100.0
Bellhaven of Owosso,001EGU7BMJ942ZTRE6,Bellhaven of Owosso,NO_ACTION,100.0
Bellhaven of Port Clinton,001UELXDAKFRKB8932,Bellhaven of Port Clinton,NO_ACTION,100.0
Bellhaven of Portsmouth,001CF3LDWVRGL09P4F,Bellhaven of Portsmouth,NO_ACTION,100.0
Bellhaven of Saline,001MVVAPY6U5TVYRC4,Bellhaven of Saline,NO_ACTION,100.0
Bellhaven of Tiffin,001988434135EF9CD7,Bellhaven of Tiffin,NO_ACTION,100.0
Bellhaven of Wooster,001W5G121A7SMRP58M,Bellhaven of Wooster,NO_ACTION,100.0
Bellhaven of Zanesville,001H1JMVZWP46D5VUF,Bellhaven of Zanesville,NO_ACTION,100.0
Bellhaven Rehabilitation & Nursing of Grove City,001TZCSTBZFM6K5BGN,Bellhaven Rehabilitation & Nursing of Grove City,NO_ACTION,100.0
Bellhaven Shores of Erie,001CVBBCSDM7YHN220,Bellhaven Shores of Erie,NO_ACTION,100.0
Bellhaven Terrace of Akron,0019Y4J61ZBG4R00CD,Bellhaven Terrace of Akron,NO_ACTION,100.0
Bellhaven Willow Creek,0017MN2JYAJBDS8WQZ,Bellhaven Willow Creek,NO_ACTION,100.0
Bellhaven Woods of Toledo,0014DHACE6WQU3RMM5,Bellhaven Woods of Toledo,NO_ACTION,100.0
The Arbors at Bellhaven - Dayton,0010KJFP601YNTZVDA,The Arbors at Bellhaven - Dayton,NO_ACTION,100.0
